"Item","Ref Des","Qty","Manufacturer","Mfg Part #","Description / Value","Package","Type","Your Instructions / Notes"
"1","C1","1","AVX","04026D104KAT2A","100nF 6.3V","C_0402_1005Metric","?","or similar 6.3V 100nF capacitor; Unpolarized capacitor; "
"2","C2","1","Murata","GRM155R60J106ME15D","10uF 6.3V","C_0402_1005Metric","?","or other 6.3V 10uF capacitor; Unpolarized capacitor; "
"3","D1","1","Wurth","150040VS73240","green","LED_0402_1005Metric","?","; Light emitting diode; "
"4","H2,H1","2","","Mounting Hole with connection","MountingHole_Pad","MountingHole_Pad_1.75mm_2.75mm","?","; Mounting Hole with connection; "
"5","J1","1","JST","SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal","Conn_01x06_MountingPin","JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal","?","; Generic connectable mounting pin connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/); "
"6","J2","1","","Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)","Castellations_SPI","Castellations_x6_1.5p_1hole","?","; Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/); "
"7","R1","1","Generic","Generic","1k","R_0402_1005Metric","?","; Resistor; "
"8","U1","1","Broadcom","AEAT-8800-Q24TR","AEAT_8800_Q24","QFN-24-1EP_5x5mm_P0.65mm_EP3.2x3.2mm","?","; 10- to 16-Bit Programmable Angular Magnetic Encoder; https://docs.broadcom.com/doc/pub-005892"
